Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
A2-003,HIGH,Synchronous REST call — ScanOrchestrator.runScan(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ProjectScanner.categorize(),,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — RepositoryParser.parse(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — parsedRepos.put(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — RepositoryParser.enrichFromParsedRepos(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — parsedRepos.entrySet(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — parsedRepos.forEach(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — allRepoQueries.put(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,"Potential missing index — allIssues.stream().filter(i -> ""CRITICAL"".equals(i.getSeverity())).count()",,0,A3,POST /api/scan,NO
A3-004,MEDIUM,"Potential missing index — allIssues.stream().filter(i -> ""HIGH"".equals(i.getSeverity())).count()",,0,A3,POST /api/scan,NO
A3-004,MEDIUM,"Potential missing index — allIssues.stream().filter(i -> ""MEDIUM"".equals(i.getSeverity())).count()",,0,A3,POST /api/scan,NO
A3-004,MEDIUM,"Potential missing index — allIssues.stream().filter(i -> ""LOW"".equals(i.getSeverity())).count()",,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — MarkdownReportGenerator.generateSummary(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — CsvReportGenerator.generateReportCsv(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — CsvReportGenerator.generateFixesCsv(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — HtmlReportGenerator.generateReport(),,0,A3,POST /api/scan,NO
A3-001,MEDIUM,SELECT * — full entity load in cu.findAll(),,0,A3,POST /api/scan,NO
A3-003,HIGH,No pagination — cu.findAll(),,0,A3,POST /api/scan,NO
A3-004,MEDIUM,Potential missing index — cu.findAll(),,0,A3,POST /api/scan,NO
A2-003,HIGH,Synchronous REST call — ScanOrchestrator.stopScan(),,0,A2,DELETE /api/scan/id,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,DELETE /api/scan/id,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,DELETE /api/scan/id,NO
D1-004,LOW,Magic number 8 in publish(),ScanProgressPublisher.java,35,D1,,NO
D1-002,MEDIUM,Long method — generate() is 65 lines,SlowChainDiagramGenerator.java,32,D1,,NO
D1-002,MEDIUM,Long method — generateServiceNode() is 81 lines,SlowChainDiagramGenerator.java,99,D1,,NO
D1-004,LOW,Magic number 30 in generateServiceNode(),SlowChainDiagramGenerator.java,104,D1,,NO
D1-004,LOW,Magic number 40 in generateServiceNode(),SlowChainDiagramGenerator.java,120,D1,,NO
D1-004,LOW,Magic number 50 in generateServiceNode(),SlowChainDiagramGenerator.java,138,D1,,NO
D1-004,LOW,Magic number 40 in generateServiceNode(),SlowChainDiagramGenerator.java,159,D1,,NO
D3-001,MEDIUM,String concat in loop — generate(),SlowChainDiagramGenerator.java,72,D3,,NO
D3-001,MEDIUM,String concat in loop — generateServiceNode(),SlowChainDiagramGenerator.java,128,D3,,NO
D3-001,MEDIUM,String concat in loop — generateServiceNode(),SlowChainDiagramGenerator.java,152,D3,,NO
D3-001,MEDIUM,String concat in loop — generateServiceNode(),SlowChainDiagramGenerator.java,173,D3,,NO
D3-001,MEDIUM,String concat in loop — identifyRootCauses(),SlowChainDiagramGenerator.java,184,D3,,YES
D1-004,LOW,Magic number 5 in scanExecutor(),AsyncConfig.java,18,D1,,NO
D11-003,MEDIUM,CORS wildcard origin — CorsConfig,CorsConfig.java,0,D11,,NO
D1-001,MEDIUM,God class — 36 methods in ScanRun,ScanRun.java,0,D1,,NO
D1-001,MEDIUM,God class — 26 methods in IssueResultEntity,IssueResultEntity.java,0,D1,,NO
D1-001,MEDIUM,God class — 24 methods in EndpointResultEntity,EndpointResultEntity.java,0,D1,,NO
D1-002,MEDIUM,Long method — getSummary() is 31 lines,ResultController.java,35,D1,,NO
D9-001,HIGH,@RequestBody without @Valid in startScan(),ScanController.java,28,D9,,YES
D1-001,MEDIUM,God class — 30 methods in ServiceCallInfo,ServiceCallInfo.java,0,D1,,NO
D1-001,MEDIUM,God class — 32 methods in ExternalCallInfo,ExternalCallInfo.java,0,D1,,NO
D1-001,MEDIUM,God class — 39 methods in EndpointInfo,EndpointInfo.java,0,D1,,NO
D1-001,MEDIUM,God class — 28 methods in ScanResult,ScanResult.java,0,D1,,NO
D1-001,MEDIUM,God class — 34 methods in RepositoryCallInfo,RepositoryCallInfo.java,0,D1,,NO
D1-002,MEDIUM,Long method — runScan() is 309 lines,ScanOrchestrator.java,80,D1,,NO
D1-004,LOW,Magic number 5 in runScan(),ScanOrchestrator.java,98,D1,,NO
D1-004,LOW,Magic number 15 in runScan(),ScanOrchestrator.java,107,D1,,NO
D1-004,LOW,Magic number 15 in runScan(),ScanOrchestrator.java,119,D1,,NO
D1-004,LOW,Magic number 25 in runScan(),ScanOrchestrator.java,122,D1,,NO
D1-004,LOW,Magic number 27 in runScan(),ScanOrchestrator.java,125,D1,,NO
D1-004,LOW,Magic number 28 in runScan(),ScanOrchestrator.java,134,D1,,NO
D1-004,LOW,Magic number 30 in runScan(),ScanOrchestrator.java,138,D1,,NO
D1-004,LOW,Magic number 35 in runScan(),ScanOrchestrator.java,150,D1,,NO
D1-004,LOW,Magic number 40 in runScan(),ScanOrchestrator.java,152,D1,,NO
D1-004,LOW,Magic number 42 in runScan(),ScanOrchestrator.java,155,D1,,NO
D1-004,LOW,Magic number 50 in runScan(),ScanOrchestrator.java,163,D1,,NO
D1-004,LOW,Magic number 52 in runScan(),ScanOrchestrator.java,166,D1,,NO
D1-004,LOW,Magic number 58 in runScan(),ScanOrchestrator.java,171,D1,,NO
D1-004,LOW,Magic number 60 in runScan(),ScanOrchestrator.java,174,D1,,NO
D1-004,LOW,Magic number 65 in runScan(),ScanOrchestrator.java,179,D1,,NO
D1-004,LOW,Magic number 68 in runScan(),ScanOrchestrator.java,182,D1,,NO
D1-004,LOW,Magic number 72 in runScan(),ScanOrchestrator.java,198,D1,,NO
D1-004,LOW,Magic number 82 in runScan(),ScanOrchestrator.java,251,D1,,NO
D1-004,LOW,Magic number 84 in runScan(),ScanOrchestrator.java,254,D1,,NO
D1-004,LOW,Magic number 90 in runScan(),ScanOrchestrator.java,260,D1,,NO
D1-004,LOW,Magic number 92 in runScan(),ScanOrchestrator.java,263,D1,,NO
D1-004,LOW,Magic number 94 in runScan(),ScanOrchestrator.java,345,D1,,NO
D1-004,LOW,Magic number 96 in runScan(),ScanOrchestrator.java,352,D1,,NO
D1-004,LOW,Magic number 98 in runScan(),ScanOrchestrator.java,358,D1,,NO
D1-004,LOW,Magic number 90 in calculateGrade(),ScanOrchestrator.java,416,D1,,NO
D1-004,LOW,Magic number 75 in calculateGrade(),ScanOrchestrator.java,417,D1,,NO
D1-004,LOW,Magic number 60 in calculateGrade(),ScanOrchestrator.java,418,D1,,NO
D1-004,LOW,Magic number 40 in calculateGrade(),ScanOrchestrator.java,419,D1,,NO
D1-004,LOW,Magic number 90 in calculateReleaseDecision(),ScanOrchestrator.java,428,D1,,NO
D1-004,LOW,Magic number 75 in calculateReleaseDecision(),ScanOrchestrator.java,429,D1,,NO
D1-004,LOW,Magic number 60 in calculateReleaseDecision(),ScanOrchestrator.java,430,D1,,NO
D1-004,LOW,Magic number 40 in calculateReleaseDecision(),ScanOrchestrator.java,431,D1,,NO
D3-001,MEDIUM,String concat in loop — runScan(),ScanOrchestrator.java,114,D3,,YES
D3-001,MEDIUM,String concat in loop — runScan(),ScanOrchestrator.java,128,D3,,YES
D3-001,MEDIUM,String concat in loop — runScan(),ScanOrchestrator.java,140,D3,,YES
D3-001,MEDIUM,String concat in loop — runScan(),ScanOrchestrator.java,191,D3,,YES
D1-002,MEDIUM,Long method — findJavaFiles() is 35 lines,ProjectScanner.java,34,D1,,NO
D1-002,MEDIUM,Long method — detectCategory() is 52 lines,ProjectScanner.java,109,D1,,NO
D1-002,MEDIUM,Long method — discoverModules() is 33 lines,ProjectScanner.java,166,D1,,NO
D1-002,MEDIUM,Long method — analyze() is 44 lines,SlownessAnalyzer.java,24,D1,,NO
