Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
A3-004,MEDIUM,Potential missing index — ServiceCountRepository.getServiceCount(),,0,A3,GET /countservice,NO
D1-001,MEDIUM,God class — 74 methods in ApplicationConfig,ApplicationConfig.java,0,D1,,NO
D1-001,MEDIUM,God class — 62 methods in BrandCareFormRequest,BrandCareFormRequest.java,0,D1,,NO
D1-001,MEDIUM,God class — 24 methods in CemRequest,CemRequest.java,0,D1,,NO
D1-001,MEDIUM,God class — 52 methods in SubmissionHistoryDto,SubmissionHistoryDto.java,0,D1,,NO
D7-001,LOW,Deprecated API — Date used in SubmissionHistoryDto,SubmissionHistoryDto.java,77,D7,,NO
D7-001,LOW,Deprecated API — Date used in SubmissionHistoryDto,SubmissionHistoryDto.java,429,D7,,NO
D7-001,LOW,Deprecated API — Date used in SubmissionHistoryDto,SubmissionHistoryDto.java,438,D7,,NO
D1-004,LOW,Magic number 206 in logotelFailure(),SubmitResult.java,135,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),StatusResponse.java,62,D1,,NO
D1-002,MEDIUM,Long method — validateSignedToken1() is 39 lines,AuthenticationServiceImpl.java,195,D1,,NO
D1-001,MEDIUM,God class — 23 methods in BrandcareServiceImpl,BrandcareServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — buildBrandcareFormResponse() is 156 lines,BrandcareServiceImpl.java,114,D1,,NO
D1-002,MEDIUM,Long method — getSubmissionHistoryByVin() is 41 lines,BrandcareServiceImpl.java,277,D1,,NO
D1-002,MEDIUM,Long method — submitBrandcareForm() is 86 lines,BrandcareServiceImpl.java,325,D1,,NO
D1-002,MEDIUM,Long method — validateFormRequest() is 144 lines,BrandcareServiceImpl.java,419,D1,,NO
D1-004,LOW,Magic number 9 in getSumOfPreviousContributions(),BrandcareServiceImpl.java,635,D1,,NO
D1-004,LOW,Magic number 12 in calculateBevContribution(),BrandcareServiceImpl.java,732,D1,,NO
D1-002,MEDIUM,Long method — buildOperationLines() is 74 lines,BrandcareServiceImpl.java,829,D1,,NO
D3-001,MEDIUM,String concat in loop — getSumOfPreviousContributions(),BrandcareServiceImpl.java,634,D3,,YES
D3-001,MEDIUM,String concat in loop — getMaintenanceFrequency(),BrandcareServiceImpl.java,985,D3,,YES
D7-001,LOW,Deprecated API — Date used in BrandcareServiceImpl,BrandcareServiceImpl.java,797,D7,,NO
D7-001,LOW,Deprecated API — Date used in BrandcareServiceImpl,BrandcareServiceImpl.java,797,D7,,NO
D7-001,LOW,Deprecated API — Date used in BrandcareServiceImpl,BrandcareServiceImpl.java,800,D7,,NO
D1-002,MEDIUM,Long method — callCemService() is 71 lines,CemContractServiceImpl.java,118,D1,,NO
D1-002,MEDIUM,Long method — callToLogotel() is 79 lines,LogotelEmailServiceImpl.java,133,D1,,NO
D1-002,MEDIUM,Long method — callToV360() is 38 lines,V360ServiceImpl.java,99,D1,,NO
D1-002,MEDIUM,Long method — getV360Response() is 32 lines,V360ServiceImpl.java,144,D1,,NO
D1-003,LOW,Too many params — returnErrorResponse() has 8 parameters,ValidatorImpl.java,40,D1,,NO
D1-003,LOW,Too many params — errorLoggedResponse() has 8 parameters,ValidatorImpl.java,67,D1,,NO
D1-003,LOW,Too many params — createErrorFormat() has 8 parameters,ValidatorImpl.java,86,D1,,NO
D1-003,LOW,Too many params — returnErrorResponse() has 8 parameters,Validator.java,30,D1,,NO
D1-003,LOW,Too many params — errorLoggedResponse() has 8 parameters,Validator.java,46,D1,,NO
D11-001,CRITICAL,Hardcoded credential — CLIENT_SECRET in AppConstants,AppConstants.java,99,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ACCESS_TOKEN in AppConstants,AppConstants.java,108,D11,,YES
D11-001,CRITICAL,Hardcoded credential — TOKEN in AppConstants,AppConstants.java,129,D11,,YES
D11-001,CRITICAL,Hardcoded credential — TOKEN_EXPIRED_FOR_USERID in AppConstants,AppConstants.java,135,D11,,YES
D11-001,CRITICAL,Hardcoded credential — X_IBM_CLIENT_SECRET in AppConstants,AppConstants.java,146,D11,,YES
D11-001,CRITICAL,Hardcoded credential — X_SPIN_GO_API_KEY in AppConstants,AppConstants.java,148,D11,,YES
D11-001,CRITICAL,Hardcoded credential — X_PASSWORD_AUTHORIZATION in AppConstants,AppConstants.java,205,D11,,YES
D1-002,MEDIUM,Long method — validateHeaderToken() is 32 lines,BrandcareUtils.java,117,D1,,NO
D1-004,LOW,Magic number 255 in isValidEmail(),BrandcareUtils.java,216,D1,,NO
D11-001,CRITICAL,Hardcoded credential — HEADER_PASSWORD in Constants,Constants.java,21,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_NAME_INCORRECT_USERNAME_PASSWORD in Constants,Constants.java,35,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_PASSWORD_IS_MISSING in Constants,Constants.java,41,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_PASSWORD_IS_MISSING in Constants,Constants.java,41,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USERNAME_IS_MISSING in Constants,Constants.java,43,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_NAME_PASSWORD_MISSING in Constants,Constants.java,47,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_NAME_USERNAMEANDPASSWORD_MISSING in Constants,Constants.java,49,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING in Constants,Constants.java,51,D11,,YES
D11-001,CRITICAL,Hardcoded credential — ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING in Constants,Constants.java,51,D11,,YES
