Rule,File,Line,Before,After,Severity
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
D1-001,ApplicationConfig.java,0,,"Split into ApplicationConfigCrudService, ApplicationConfigQueryService, etc.",MEDIUM
D1-001,BrandCareFormRequest.java,0,,"Split into BrandCareFormRequestCrudService, BrandCareFormRequestQueryService, etc.",MEDIUM
D1-001,CemRequest.java,0,,"Split into CemRequestCrudService, CemRequestQueryService, etc.",MEDIUM
D1-001,SubmissionHistoryDto.java,0,,"Split into SubmissionHistoryDtoCrudService, SubmissionHistoryDtoQueryService, etc.",MEDIUM
D7-001,SubmissionHistoryDto.java,77,Date,LocalDate / LocalDateTime,LOW
D7-001,SubmissionHistoryDto.java,429,Date,LocalDate / LocalDateTime,LOW
D7-001,SubmissionHistoryDto.java,438,Date,LocalDate / LocalDateTime,LOW
D1-004,SubmitResult.java,135,,private static final int CONSTANT_NAME = 206;,LOW
D1-004,StatusResponse.java,62,,private static final int CONSTANT_NAME = 31;,LOW
D1-002,AuthenticationServiceImpl.java,195,,Extract private helper methods for logical blocks,MEDIUM
D1-001,BrandcareServiceImpl.java,0,,"Split into BrandcareServiceImplCrudService, BrandcareServiceImplQueryService, etc.",MEDIUM
D1-002,BrandcareServiceImpl.java,114,,Extract private helper methods for logical blocks,MEDIUM
D1-002,BrandcareServiceImpl.java,277,,Extract private helper methods for logical blocks,MEDIUM
D1-002,BrandcareServiceImpl.java,325,,Extract private helper methods for logical blocks,MEDIUM
D1-002,BrandcareServiceImpl.java,419,,Extract private helper methods for logical blocks,MEDIUM
D1-004,BrandcareServiceImpl.java,635,,private static final int CONSTANT_NAME = 9;,LOW
D1-004,BrandcareServiceImpl.java,732,,private static final int CONSTANT_NAME = 12;,LOW
D1-002,BrandcareServiceImpl.java,829,,Extract private helper methods for logical blocks,MEDIUM
D3-001,BrandcareServiceImpl.java,634,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,BrandcareServiceImpl.java,985,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D7-001,BrandcareServiceImpl.java,797,Date,LocalDate / LocalDateTime,LOW
D7-001,BrandcareServiceImpl.java,797,Date,LocalDate / LocalDateTime,LOW
D7-001,BrandcareServiceImpl.java,800,Date,LocalDate / LocalDateTime,LOW
D1-002,CemContractServiceImpl.java,118,,Extract private helper methods for logical blocks,MEDIUM
D1-002,LogotelEmailServiceImpl.java,133,,Extract private helper methods for logical blocks,MEDIUM
D1-002,V360ServiceImpl.java,99,,Extract private helper methods for logical blocks,MEDIUM
D1-002,V360ServiceImpl.java,144,,Extract private helper methods for logical blocks,MEDIUM
D1-003,ValidatorImpl.java,40,,Group parameters into a Request DTO,LOW
D1-003,ValidatorImpl.java,67,,Group parameters into a Request DTO,LOW
D1-003,ValidatorImpl.java,86,,Group parameters into a Request DTO,LOW
D1-003,Validator.java,30,,Group parameters into a Request DTO,LOW
D1-003,Validator.java,46,,Group parameters into a Request DTO,LOW
D11-001,AppConstants.java,99,"private String CLIENT_SECRET = ""client_secret="";","@Value(""${client_secret}"") private String CLIENT_SECRET;",CRITICAL
D11-001,AppConstants.java,108,"private String ACCESS_TOKEN = ""access_token"";","@Value(""${access_token}"") private String ACCESS_TOKEN;",CRITICAL
D11-001,AppConstants.java,129,"private String TOKEN = ""Token"";","@Value(""${token}"") private String TOKEN;",CRITICAL
D11-001,AppConstants.java,135,"private String TOKEN_EXPIRED_FOR_USERID = ""Token expired for userId : "";","@Value(""${token_expired_for_userid}"") private String TOKEN_EXPIRED_FOR_USERID;",CRITICAL
D11-001,AppConstants.java,146,"private String X_IBM_CLIENT_SECRET = ""X-IBM-Client-Secret"";","@Value(""${x_ibm_client_secret}"") private String X_IBM_CLIENT_SECRET;",CRITICAL
D11-001,AppConstants.java,148,"private String X_SPIN_GO_API_KEY = ""X-SpinGo-API-Key"";","@Value(""${x_spin_go_api_key}"") private String X_SPIN_GO_API_KEY;",CRITICAL
D11-001,AppConstants.java,205,"private String X_PASSWORD_AUTHORIZATION = ""x-password-authorization"";","@Value(""${x_password_authorization}"") private String X_PASSWORD_AUTHORIZATION;",CRITICAL
D1-002,BrandcareUtils.java,117,,Extract private helper methods for logical blocks,MEDIUM
D1-004,BrandcareUtils.java,216,,private static final int CONSTANT_NAME = 255;,LOW
D11-001,Constants.java,21,"private String HEADER_PASSWORD = ""password"";","@Value(""${header_password}"") private String HEADER_PASSWORD;",CRITICAL
D11-001,Constants.java,35,"private String ERR_NAME_INCORRECT_USERNAME_PASSWORD = ""Incorrect User ID/Password"";","@Value(""${err_name_incorrect_username_password}"") private String ERR_NAME_INCORRECT_USERNAME_PASSWORD;",CRITICAL
D11-001,Constants.java,41,"private String ERR_MSG_TOKEN_PASSWORD_IS_MISSING = ""dimbo.i18.api.error.password.missing"";","@Value(""${err_msg_token_password_is_missing}"") private String ERR_MSG_TOKEN_PASSWORD_IS_MISSING;",CRITICAL
D11-001,Constants.java,41,"private String ERR_MSG_TOKEN_PASSWORD_IS_MISSING = ""dimbo.i18.api.error.password.missing"";","@Value(""${err_msg_token_password_is_missing}"") private String ERR_MSG_TOKEN_PASSWORD_IS_MISSING;",CRITICAL
D11-001,Constants.java,43,"private String ERR_MSG_TOKEN_USERNAME_IS_MISSING = ""dimbo.i18.api.error.username.missing"";","@Value(""${err_msg_token_username_is_missing}"") private String ERR_MSG_TOKEN_USERNAME_IS_MISSING;",CRITICAL
D11-001,Constants.java,47,"private String ERR_NAME_PASSWORD_MISSING = ""PasswordMissing"";","@Value(""${err_name_password_missing}"") private String ERR_NAME_PASSWORD_MISSING;",CRITICAL
D11-001,Constants.java,49,"private String ERR_NAME_USERNAMEANDPASSWORD_MISSING = ""UserNameAndPasswordMissing"";","@Value(""${err_name_usernameandpassword_missing}"") private String ERR_NAME_USERNAMEANDPASSWORD_MISSING;",CRITICAL
D11-001,Constants.java,51,"private String ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING = ""dimbo.i18.api.error.usernameandpassword.missing"";","@Value(""${err_msg_token_usernameandpassword_is_missing}"") private String ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING;",CRITICAL
D11-001,Constants.java,51,"private String ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING = ""dimbo.i18.api.error.usernameandpassword.missing"";","@Value(""${err_msg_token_usernameandpassword_is_missing}"") private String ERR_MSG_TOKEN_USERNAMEANDPASSWORD_IS_MISSING;",CRITICAL
