Rule,File,Line,Before,After,Severity
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
D1-001,ApplicationConfig.java,0,,"Split into ApplicationConfigCrudService, ApplicationConfigQueryService, etc.",MEDIUM
D1-001,VehicleDescriptionJsonResponse.java,0,,"Split into VehicleDescriptionJsonResponseCrudService, VehicleDescriptionJsonResponseQueryService, etc.",MEDIUM
D1-004,VinAlcdvDetails.java,101,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,VinAlcdvDetails.java,33,Date,LocalDate / LocalDateTime,LOW
D7-001,VinAlcdvDetails.java,72,Date,LocalDate / LocalDateTime,LOW
D7-001,VinAlcdvDetails.java,81,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,59,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,63,Date,LocalDate / LocalDateTime,LOW
D1-002,AlcdvServiceImpl.java,90,,Extract private helper methods for logical blocks,MEDIUM
D1-002,AlcdvServiceImpl.java,153,,Extract private helper methods for logical blocks,MEDIUM
D1-004,AlcdvServiceImpl.java,219,,private static final int CONSTANT_NAME = 80;,LOW
D1-004,AlcdvServiceImpl.java,232,,private static final int CONSTANT_NAME = 443;,LOW
D1-004,AlcdvServiceImpl.java,255,,private static final int CONSTANT_NAME = 80;,LOW
D1-002,AlcdvServiceImpl.java,288,,Extract private helper methods for logical blocks,MEDIUM
D7-001,AlcdvServiceImpl.java,273,Date,LocalDate / LocalDateTime,LOW
D11-001,Constants.java,24,"private String API_KEY = ""API-Key"";","@Value(""${api_key}"") private String API_KEY;",CRITICAL
D11-001,Constants.java,57,"private String PASSWORD = ""password"";","@Value(""${password}"") private String PASSWORD;",CRITICAL
D1-002,AlcdvResource.java,110,,Extract private helper methods for logical blocks,MEDIUM
D11-001,ResponseMessages.java,19,"private String NULL_API_KEY = ""NULL API KEY"";","@Value(""${null_api_key}"") private String NULL_API_KEY;",CRITICAL
D11-001,ResponseMessages.java,22,"private String EMPTY_API_KEY = ""EMPTY API KEY"";","@Value(""${empty_api_key}"") private String EMPTY_API_KEY;",CRITICAL
D11-001,ResponseMessages.java,25,"private String INVALID_API_KEY = ""INVALID API KEY"";","@Value(""${invalid_api_key}"") private String INVALID_API_KEY;",CRITICAL
D1-004,TechdocReftechBrand.java,113,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,TechdocReftechCar.java,113,,private static final int CONSTANT_NAME = 31;,LOW
D1-004,TechdocReftechModel.java,113,,private static final int CONSTANT_NAME = 31;,LOW
D1-002,TechdocReftechBrandServiceImpl.java,87,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TechdocReftechCarServiceImpl.java,150,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TechdocReftechModelServiceImpl.java,84,,Extract private helper methods for logical blocks,MEDIUM
D11-001,Constants.java,67,"private String REQUEST_HEADER_API_KEY = ""API-Key"";","@Value(""${request_header_api_key}"") private String REQUEST_HEADER_API_KEY;",CRITICAL
D1-002,ApiResource.java,84,,Extract private helper methods for logical blocks,MEDIUM
D1-004,ApiResource.java,90,,private static final int CONSTANT_NAME = 417;,LOW
D1-004,ApiResource.java,151,,private static final int CONSTANT_NAME = 417;,LOW
D1-004,ApiResource.java,186,,private static final int CONSTANT_NAME = 417;,LOW
D1-004,ConfigurationResource.java,79,,private static final int CONSTANT_NAME = 401;,LOW
D1-004,ConfigurationResource.java,115,,private static final int CONSTANT_NAME = 401;,LOW
D1-004,LanguageResource.java,57,,private static final int CONSTANT_NAME = 400;,LOW
D1-002,ServicesHealthResouce.java,80,,Extract private helper methods for logical blocks,MEDIUM
D1-004,ServicesHealthResouce.java,85,,private static final int CONSTANT_NAME = 417;,LOW
D1-004,ServicesHealthResouce.java,135,,private static final int CONSTANT_NAME = 417;,LOW
D11-001,AuthConstant.java,24,"private String SECRET_KEY = ""sample byte string for share key"";","@Value(""${secret_key}"") private String SECRET_KEY;",CRITICAL
D11-001,AuthConstant.java,26,"private String API_KEY_NOT_VALIDATED = ""Invalid ApiKey or no ApiKey is provided in request"";","@Value(""${api_key_not_validated}"") private String API_KEY_NOT_VALIDATED;",CRITICAL
D1-002,AuthenticationResource.java,114,,Extract private helper methods for logical blocks,MEDIUM
D1-004,AuthenticationResource.java,120,,private static final int CONSTANT_NAME = 401;,LOW
D1-002,AuthenticationResource.java,167,,Extract private helper methods for logical blocks,MEDIUM
