Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
A3-004,MEDIUM,Potential missing index — VinBrandRepository.getBrand(),,0,A3,GET /activeContractsDAI,NO
A3-004,MEDIUM,Potential missing index — CicsConfigurationRepository.byBrandAndCountry(),,0,A3,GET /health/sagaiWarrantyHealth,NO
A3-004,MEDIUM,Potential missing index — SagaiDeployedRepository.getMarketCode(),,0,A3,GET /vinscontracts,NO
A3-004,MEDIUM,Potential missing index — SagaiDeployedRepository.getMarketCode(),,0,A3,GET /vinscontracts,NO
A3-004,MEDIUM,Potential missing index — SagaiDeployedRepository.getSagaiCountryID(),,0,A3,GET /vinscontracts,NO
A3-004,MEDIUM,Potential missing index — SagaiDeployedRepository.getCountryConfigValue(),,0,A3,GET /vinscontracts,NO
D1-001,MEDIUM,God class — 186 methods in ApplicationConfig,ApplicationConfig.java,0,D1,,NO
D1-002,MEDIUM,Long method — init() is 45 lines,CorvetRequestTestDefault.java,12,D1,,NO
D1-002,MEDIUM,Long method — getCountryConfigValue() is 32 lines,SagaiDeployedRepositoryImpl.java,57,D1,,NO
D1-002,MEDIUM,Long method — getSagaiCountryID() is 31 lines,SagaiDeployedRepositoryImpl.java,96,D1,,NO
D1-002,MEDIUM,Long method — byServiceHistory() is 40 lines,ServiceHistoryRepositoryImpl.java,103,D1,,NO
D1-002,MEDIUM,Long method — getVehicleDetailsByLcdv4() is 34 lines,VehicleDescriptionDetailsRepositoryImpl.java,47,D1,,NO
D1-002,MEDIUM,Long method — getVehicleDetailsByLcdv4() is 38 lines,VehicleDescriptionDetailsRepositoryImpl.java,83,D1,,NO
D1-002,MEDIUM,Long method — byVehicleIdentificationNumber() is 39 lines,VehicleIdentificationNumberJpaRepository.java,83,D1,,NO
D1-002,MEDIUM,Long method — byVisIdentifier() is 38 lines,VehicleIdentifierSectionRepositoryImpl.java,41,D1,,NO
D1-002,MEDIUM,Long method — getBrand() is 32 lines,VinBrandRepositoryImpl.java,48,D1,,NO
D1-002,MEDIUM,Long method — byVinWarranty() is 39 lines,VinWarrantyJpaRepository.java,49,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),CicsConfiguration.java,110,D1,,NO
D1-001,MEDIUM,God class — 32 methods in ApplicableServiceCampaignsJsonRepresentation,ApplicableServiceCampaignsJsonRepresentation.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in ApplicableWarrantyClaimsJsonRepresentation,ApplicableWarrantyClaimsJsonRepresentation.java,0,D1,,NO
D1-001,MEDIUM,God class — 58 methods in CorvetVehiculeListJsonResponse,CorvetVehiculeListJsonResponse.java,0,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),CountryConstRangeResponse.java,81,D1,,NO
D7-001,LOW,Deprecated API — Date used in CountryConstRangeResponse,CountryConstRangeResponse.java,65,D7,,NO
D1-001,MEDIUM,God class — 32 methods in EsaResponseJson,EsaResponseJson.java,0,D1,,NO
D1-001,MEDIUM,God class — 104 methods in LicensePlateJsonRepresentation,LicensePlateJsonRepresentation.java,0,D1,,NO
D1-001,MEDIUM,God class — 24 methods in SagaiWarrantyContractJsonResponse,SagaiWarrantyContractJsonResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 34 methods in SagaiWarrantyContractListJsonResponse,SagaiWarrantyContractListJsonResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 52 methods in SagaiWarrantyProductsJsonResponse,SagaiWarrantyProductsJsonResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 36 methods in SagaiWarrantyQuantitiesJsonResponse,SagaiWarrantyQuantitiesJsonResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in ServiceDealerJsonResponse,ServiceDealerJsonResponse.java,0,D1,,NO
D1-001,MEDIUM,God class — 30 methods in ServiceHistoryJson,ServiceHistoryJson.java,0,D1,,NO
D1-001,MEDIUM,God class — 152 methods in TraxioJsonRepresentation,TraxioJsonRepresentation.java,0,D1,,NO
D1-001,MEDIUM,God class — 72 methods in VehicleJsonRepresentation,VehicleJsonRepresentation.java,0,D1,,NO
D7-001,LOW,Deprecated API — Date used in ServiceHistory,ServiceHistory.java,40,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServiceHistory,ServiceHistory.java,83,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServiceHistory,ServiceHistory.java,92,D7,,NO
D1-004,LOW,Magic number 31 in hashCode(),ServiceHistoryIdentifier.java,95,D1,,NO
D1-001,MEDIUM,God class — 24 methods in VehicleDescriptionDetails,VehicleDescriptionDetails.java,0,D1,,NO
D1-002,MEDIUM,Long method — equals() is 48 lines,VehicleDescriptionDetails.java,239,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),VehicleDescriptionDetails.java,314,D1,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,34,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,37,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,46,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,49,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,95,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,104,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,113,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,122,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,167,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,176,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,185,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleDescriptionDetails,VehicleDescriptionDetails.java,194,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentificationNumber,VehicleIdentificationNumber.java,40,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentificationNumber,VehicleIdentificationNumber.java,65,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentificationNumber,VehicleIdentificationNumber.java,74,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentifierSection,VehicleIdentifierSection.java,34,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentifierSection,VehicleIdentifierSection.java,99,D7,,NO
D7-001,LOW,Deprecated API — Date used in VehicleIdentifierSection,VehicleIdentifierSection.java,108,D7,,NO
D7-001,LOW,Deprecated API — Date used in VinWarranty,VinWarranty.java,39,D7,,NO
D7-001,LOW,Deprecated API — Date used in VinWarranty,VinWarranty.java,82,D7,,NO
D7-001,LOW,Deprecated API — Date used in VinWarranty,VinWarranty.java,91,D7,,NO
D1-001,MEDIUM,God class — 37 methods in AbstractService,AbstractService.java,0,D1,,NO
D1-003,LOW,Too many params — insertVinData() has 6 parameters,AbstractService.java,126,D1,,NO
D1-002,MEDIUM,Long method — getTechDocKTypeDataForKType() is 39 lines,AbstractService.java,360,D1,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,437,D7,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,438,D7,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,457,D7,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,458,D7,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,474,D7,,NO
D7-001,LOW,Deprecated API — Date used in AbstractService,AbstractService.java,478,D7,,NO
D1-001,MEDIUM,God class — 27 methods in CartellServiceImpl,CartellServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — processVehicleIdentificationNumberData() is 31 lines,CartellServiceImpl.java,353,D1,,NO
D1-002,MEDIUM,Long method — getKtypeFromvinJson() is 46 lines,CartellServiceImpl.java,393,D1,,NO
D1-002,MEDIUM,Long method — processVinResponseIfDetailsIsTrue() is 43 lines,CartellServiceImpl.java,465,D1,,NO
D1-003,LOW,Too many params — processVinResponseIfDetailsIsTrue() has 6 parameters,CartellServiceImpl.java,465,D1,,NO
