Rule,File,Line,Before,After,Severity
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
D1-001,ApplicationConfig.java,0,,"Split into ApplicationConfigCrudService, ApplicationConfigQueryService, etc.",MEDIUM
D1-002,CorvetRequestTestDefault.java,12,,Extract private helper methods for logical blocks,MEDIUM
D1-002,SagaiDeployedRepositoryImpl.java,57,,Extract private helper methods for logical blocks,MEDIUM
D1-002,SagaiDeployedRepositoryImpl.java,96,,Extract private helper methods for logical blocks,MEDIUM
D1-002,ServiceHistoryRepositoryImpl.java,103,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleDescriptionDetailsRepositoryImpl.java,47,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleDescriptionDetailsRepositoryImpl.java,83,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleIdentificationNumberJpaRepository.java,83,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VehicleIdentifierSectionRepositoryImpl.java,41,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VinBrandRepositoryImpl.java,48,,Extract private helper methods for logical blocks,MEDIUM
D1-002,VinWarrantyJpaRepository.java,49,,Extract private helper methods for logical blocks,MEDIUM
D1-004,CicsConfiguration.java,110,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,ApplicableServiceCampaignsJsonRepresentation.java,0,,"Split into ApplicableServiceCampaignsJsonRepresentationCrudService, ApplicableServiceCampaignsJsonRepresentationQueryService, etc.",MEDIUM
D1-001,ApplicableWarrantyClaimsJsonRepresentation.java,0,,"Split into ApplicableWarrantyClaimsJsonRepresentationCrudService, ApplicableWarrantyClaimsJsonRepresentationQueryService, etc.",MEDIUM
D1-001,CorvetVehiculeListJsonResponse.java,0,,"Split into CorvetVehiculeListJsonResponseCrudService, CorvetVehiculeListJsonResponseQueryService, etc.",MEDIUM
D1-004,CountryConstRangeResponse.java,81,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,CountryConstRangeResponse.java,65,Date,LocalDate / LocalDateTime,LOW
D1-001,EsaResponseJson.java,0,,"Split into EsaResponseJsonCrudService, EsaResponseJsonQueryService, etc.",MEDIUM
D1-001,LicensePlateJsonRepresentation.java,0,,"Split into LicensePlateJsonRepresentationCrudService, LicensePlateJsonRepresentationQueryService, etc.",MEDIUM
D1-001,SagaiWarrantyContractJsonResponse.java,0,,"Split into SagaiWarrantyContractJsonResponseCrudService, SagaiWarrantyContractJsonResponseQueryService, etc.",MEDIUM
D1-001,SagaiWarrantyContractListJsonResponse.java,0,,"Split into SagaiWarrantyContractListJsonResponseCrudService, SagaiWarrantyContractListJsonResponseQueryService, etc.",MEDIUM
D1-001,SagaiWarrantyProductsJsonResponse.java,0,,"Split into SagaiWarrantyProductsJsonResponseCrudService, SagaiWarrantyProductsJsonResponseQueryService, etc.",MEDIUM
D1-001,SagaiWarrantyQuantitiesJsonResponse.java,0,,"Split into SagaiWarrantyQuantitiesJsonResponseCrudService, SagaiWarrantyQuantitiesJsonResponseQueryService, etc.",MEDIUM
D1-001,ServiceDealerJsonResponse.java,0,,"Split into ServiceDealerJsonResponseCrudService, ServiceDealerJsonResponseQueryService, etc.",MEDIUM
D1-001,ServiceHistoryJson.java,0,,"Split into ServiceHistoryJsonCrudService, ServiceHistoryJsonQueryService, etc.",MEDIUM
D1-001,TraxioJsonRepresentation.java,0,,"Split into TraxioJsonRepresentationCrudService, TraxioJsonRepresentationQueryService, etc.",MEDIUM
D1-001,VehicleJsonRepresentation.java,0,,"Split into VehicleJsonRepresentationCrudService, VehicleJsonRepresentationQueryService, etc.",MEDIUM
D7-001,ServiceHistory.java,40,Date,LocalDate / LocalDateTime,LOW
D7-001,ServiceHistory.java,83,Date,LocalDate / LocalDateTime,LOW
D7-001,ServiceHistory.java,92,Date,LocalDate / LocalDateTime,LOW
D1-004,ServiceHistoryIdentifier.java,95,,private static final int CONSTANT_NAME = 31;,LOW
D1-001,VehicleDescriptionDetails.java,0,,"Split into VehicleDescriptionDetailsCrudService, VehicleDescriptionDetailsQueryService, etc.",MEDIUM
D1-002,VehicleDescriptionDetails.java,239,,Extract private helper methods for logical blocks,MEDIUM
D1-004,VehicleDescriptionDetails.java,314,,private static final int CONSTANT_NAME = 31;,LOW
D7-001,VehicleDescriptionDetails.java,34,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,37,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,46,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,49,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,95,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,104,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,113,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,122,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,167,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,176,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,185,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleDescriptionDetails.java,194,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentificationNumber.java,40,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentificationNumber.java,65,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentificationNumber.java,74,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentifierSection.java,34,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentifierSection.java,99,Date,LocalDate / LocalDateTime,LOW
D7-001,VehicleIdentifierSection.java,108,Date,LocalDate / LocalDateTime,LOW
D7-001,VinWarranty.java,39,Date,LocalDate / LocalDateTime,LOW
D7-001,VinWarranty.java,82,Date,LocalDate / LocalDateTime,LOW
D7-001,VinWarranty.java,91,Date,LocalDate / LocalDateTime,LOW
D1-001,AbstractService.java,0,,"Split into AbstractServiceCrudService, AbstractServiceQueryService, etc.",MEDIUM
D1-003,AbstractService.java,126,,Group parameters into a Request DTO,LOW
D1-002,AbstractService.java,360,,Extract private helper methods for logical blocks,MEDIUM
D7-001,AbstractService.java,437,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,438,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,457,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,458,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,474,Date,LocalDate / LocalDateTime,LOW
D7-001,AbstractService.java,478,Date,LocalDate / LocalDateTime,LOW
D1-001,CartellServiceImpl.java,0,,"Split into CartellServiceImplCrudService, CartellServiceImplQueryService, etc.",MEDIUM
