Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-001,MEDIUM,God class — 44 methods in ObjectFactory,ObjectFactory.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in LibelleType,LibelleType.java,0,D1,,NO
D1-001,MEDIUM,God class — 44 methods in ObjectFactory,ObjectFactory.java,0,D1,,NO
D1-002,MEDIUM,Long method — serviceResponse() is 34 lines,HttpUtillityImpl.java,36,D1,,NO
D1-002,MEDIUM,Long method — getTranslatedLabelByPhraseCode() is 124 lines,TheseeCodeLabelTranslationServiceImpl.java,132,D1,,NO
D1-003,LOW,Too many params — getTranslatedLabelByPhraseCode() has 9 parameters,TheseeCodeLabelTranslationServiceImpl.java,132,D1,,NO
D1-002,MEDIUM,Long method — printTagsCode() is 68 lines,TheseeCodeLabelTranslationServiceImpl.java,270,D1,,NO
D1-002,MEDIUM,Long method — processTheseeResponse() is 74 lines,TheseeCodeLabelTranslationServiceImpl.java,359,D1,,NO
D1-004,LOW,Magic number 4 in processTheseeResponse(),TheseeCodeLabelTranslationServiceImpl.java,378,D1,,NO
D1-002,MEDIUM,Long method — setParameters() is 46 lines,TheseeCodeLabelTranslationServiceImpl.java,440,D1,,NO
D1-002,MEDIUM,Long method — setWSAuthentication() is 35 lines,TheseeCodeLabelTranslationServiceImpl.java,499,D1,,NO
D1-003,LOW,Too many params — setWSAuthentication() has 8 parameters,TheseeCodeLabelTranslationServiceImpl.java,499,D1,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCodeLabelTranslationServiceImpl,TheseeCodeLabelTranslationServiceImpl.java,154,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCodeLabelTranslationServiceImpl,TheseeCodeLabelTranslationServiceImpl.java,154,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCodeLabelTranslationServiceImpl,TheseeCodeLabelTranslationServiceImpl.java,175,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCodeLabelTranslationServiceImpl,TheseeCodeLabelTranslationServiceImpl.java,175,D7,,NO
D7-001,LOW,Deprecated API — Date used in TheseeCodeLabelTranslationServiceImpl,TheseeCodeLabelTranslationServiceImpl.java,516,D7,,NO
D1-002,MEDIUM,Long method — newEnvoiTraductionExacte() is 194 lines,TheseeCreateTranslationServiceImpl.java,84,D1,,NO
D1-003,LOW,Too many params — newEnvoiTraductionExacte() has 8 parameters,TheseeCreateTranslationServiceImpl.java,84,D1,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreateTranslationServiceImpl,TheseeCreateTranslationServiceImpl.java,94,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreateTranslationServiceImpl,TheseeCreateTranslationServiceImpl.java,94,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreateTranslationServiceImpl,TheseeCreateTranslationServiceImpl.java,95,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreateTranslationServiceImpl,TheseeCreateTranslationServiceImpl.java,95,D7,,NO
D7-001,LOW,Deprecated API — Date used in TheseeCreateTranslationServiceImpl,TheseeCreateTranslationServiceImpl.java,117,D7,,NO
D1-002,MEDIUM,Long method — newCreationDeLibelles() is 171 lines,TheseeCreationServiceImpl.java,103,D1,,NO
D1-003,LOW,Too many params — newCreationDeLibelles() has 10 parameters,TheseeCreationServiceImpl.java,103,D1,,NO
D1-002,MEDIUM,Long method — setRequestBody() is 66 lines,TheseeCreationServiceImpl.java,327,D1,,NO
D1-002,MEDIUM,Long method — setResponseBody() is 33 lines,TheseeCreationServiceImpl.java,395,D1,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,122,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,122,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,130,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,130,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,138,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,138,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,181,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,181,D7,,NO
D7-001,LOW,Deprecated API — Date used in TheseeCreationServiceImpl,TheseeCreationServiceImpl.java,302,D7,,NO
D1-002,MEDIUM,Long method — newRechercheExacte() is 126 lines,TheseeRechercheServiceImpl.java,93,D1,,NO
D1-003,LOW,Too many params — newRechercheExacte() has 11 parameters,TheseeRechercheServiceImpl.java,93,D1,,NO
D1-002,MEDIUM,Long method — printTagsCode() is 82 lines,TheseeRechercheServiceImpl.java,233,D1,,NO
D1-002,MEDIUM,Long method — setRequestBody() is 44 lines,TheseeRechercheServiceImpl.java,395,D1,,NO
D1-002,MEDIUM,Long method — setResponseBody() is 46 lines,TheseeRechercheServiceImpl.java,441,D1,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeRechercheServiceImpl,TheseeRechercheServiceImpl.java,111,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeRechercheServiceImpl,TheseeRechercheServiceImpl.java,111,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeRechercheServiceImpl,TheseeRechercheServiceImpl.java,130,D7,,NO
D7-001,LOW,Deprecated API — StringBuffer used in TheseeRechercheServiceImpl,TheseeRechercheServiceImpl.java,130,D7,,NO
D7-001,LOW,Deprecated API — Date used in TheseeRechercheServiceImpl,TheseeRechercheServiceImpl.java,357,D7,,NO
D1-003,LOW,Too many params — getTranslatedLabelByPhraseCode() has 9 parameters,TheseeCodeLabelTranslationService.java,36,D1,,NO
D1-003,LOW,Too many params — newEnvoiTraductionExacte() has 8 parameters,TheseeCreateTranslationService.java,19,D1,,NO
D1-003,LOW,Too many params — newCreationDeLibelles() has 10 parameters,TheseeCreationService.java,20,D1,,NO
D1-003,LOW,Too many params — newRechercheExacte() has 11 parameters,TheseeRechercheService.java,20,D1,,NO
D1-002,MEDIUM,Long method — handlePhraseLabel() is 37 lines,ThesseResource.java,338,D1,,NO
D1-002,MEDIUM,Long method — main() is 126 lines,NewTheseeCreation.java,50,D1,,NO
D3-001,MEDIUM,String concat in loop — main(),NewTheseeCreation.java,167,D3,,YES
D7-001,LOW,Deprecated API — Date used in NewTheseeCreation,NewTheseeCreation.java,69,D7,,NO
D1-002,MEDIUM,Long method — main() is 107 lines,NewTheseeRecherche.java,42,D1,,NO
D3-001,MEDIUM,String concat in loop — main(),NewTheseeRecherche.java,131,D3,,YES
D3-001,MEDIUM,String concat in loop — main(),NewTheseeRecherche.java,135,D3,,YES
D7-001,LOW,Deprecated API — Date used in NewTheseeRecherche,NewTheseeRecherche.java,62,D7,,NO
D1-002,MEDIUM,Long method — main() is 127 lines,RechercheParCode.java,43,D1,,NO
D3-001,MEDIUM,String concat in loop — main(),RechercheParCode.java,158,D3,,YES
D7-001,LOW,Deprecated API — Date used in RechercheParCode,RechercheParCode.java,60,D7,,NO
D1-002,MEDIUM,Long method — main() is 84 lines,ThesseCreateTranslation.java,39,D1,,NO
D7-001,LOW,Deprecated API — Date used in ThesseCreateTranslation,ThesseCreateTranslation.java,56,D7,,NO
D1-001,MEDIUM,God class — 22 methods in LibelleType,LibelleType.java,0,D1,,NO
D1-001,MEDIUM,God class — 44 methods in ObjectFactory,ObjectFactory.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in LibelleType,LibelleType.java,0,D1,,NO
D1-001,MEDIUM,God class — 44 methods in ObjectFactory,ObjectFactory.java,0,D1,,NO
