Rule,File,Line,Before,After,Severity
D1-001,ObjectFactory.java,0,,"Split into ObjectFactoryCrudService, ObjectFactoryQueryService, etc.",MEDIUM
D1-001,LibelleType.java,0,,"Split into LibelleTypeCrudService, LibelleTypeQueryService, etc.",MEDIUM
D1-001,ObjectFactory.java,0,,"Split into ObjectFactoryCrudService, ObjectFactoryQueryService, etc.",MEDIUM
D1-002,HttpUtillityImpl.java,36,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TheseeCodeLabelTranslationServiceImpl.java,132,,Extract private helper methods for logical blocks,MEDIUM
D1-003,TheseeCodeLabelTranslationServiceImpl.java,132,,Group parameters into a Request DTO,LOW
D1-002,TheseeCodeLabelTranslationServiceImpl.java,270,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TheseeCodeLabelTranslationServiceImpl.java,359,,Extract private helper methods for logical blocks,MEDIUM
D1-004,TheseeCodeLabelTranslationServiceImpl.java,378,,private static final int CONSTANT_NAME = 4;,LOW
D1-002,TheseeCodeLabelTranslationServiceImpl.java,440,,Extract private helper methods for logical blocks,MEDIUM
D1-002,TheseeCodeLabelTranslationServiceImpl.java,499,,Extract private helper methods for logical blocks,MEDIUM
D1-003,TheseeCodeLabelTranslationServiceImpl.java,499,,Group parameters into a Request DTO,LOW
D7-001,TheseeCodeLabelTranslationServiceImpl.java,154,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCodeLabelTranslationServiceImpl.java,154,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCodeLabelTranslationServiceImpl.java,175,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCodeLabelTranslationServiceImpl.java,175,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCodeLabelTranslationServiceImpl.java,516,Date,LocalDate / LocalDateTime,LOW
D1-002,TheseeCreateTranslationServiceImpl.java,84,,Extract private helper methods for logical blocks,MEDIUM
D1-003,TheseeCreateTranslationServiceImpl.java,84,,Group parameters into a Request DTO,LOW
D7-001,TheseeCreateTranslationServiceImpl.java,94,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCreateTranslationServiceImpl.java,94,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCreateTranslationServiceImpl.java,95,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCreateTranslationServiceImpl.java,95,StringBuffer,StringBuilder (if single-threaded),LOW
D7-001,TheseeCreateTranslationServiceImpl.java,117,Date,LocalDate / LocalDateTime,LOW
D1-002,TheseeCreationServiceImpl.java,103,,Extract private helper methods for logical blocks,MEDIUM
D1-003,TheseeCreationServiceImpl.java,103,,Group parameters into a Request DTO,LOW
