Rule,File,Line,Before,After,Severity
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A3-001,,0,,Use projection interface or @Query with specific columns,MEDIUM
A3-003,,0,,"Add Pageable parameter: findAll(criteria, PageRequest.of(0, 20))",HIGH
A3-004,,0,,"@Index(name=""idx_table_col"", columnList=""col"") on @Entity @Table",MEDIUM
A2-003,,0,"restTemplate.postForObject(url, body, Response.class)",@Async CompletableFuture<Response> — wrap in async method,HIGH
A2-005,,0,,setConnectTimeout(3000) + setReadTimeout(10000),HIGH
A2-006,,0,,"@CircuitBreaker(name=""cb"", fallbackMethod=""fallback"")",MEDIUM
D1-004,ScanProgressPublisher.java,35,,private static final int CONSTANT_NAME = 8;,LOW
D1-002,SlowChainDiagramGenerator.java,32,,Extract private helper methods for logical blocks,MEDIUM
D1-002,SlowChainDiagramGenerator.java,99,,Extract private helper methods for logical blocks,MEDIUM
D1-004,SlowChainDiagramGenerator.java,104,,private static final int CONSTANT_NAME = 30;,LOW
D1-004,SlowChainDiagramGenerator.java,120,,private static final int CONSTANT_NAME = 40;,LOW
D1-004,SlowChainDiagramGenerator.java,138,,private static final int CONSTANT_NAME = 50;,LOW
D1-004,SlowChainDiagramGenerator.java,159,,private static final int CONSTANT_NAME = 40;,LOW
D3-001,SlowChainDiagramGenerator.java,72,,Use StringBuilder instead of String concatenation in loops,MEDIUM
D3-001,SlowChainDiagramGenerator.java,128,,Use StringBuilder instead of String concatenation in loops,MEDIUM
D3-001,SlowChainDiagramGenerator.java,152,,Use StringBuilder instead of String concatenation in loops,MEDIUM
D3-001,SlowChainDiagramGenerator.java,173,,Use StringBuilder instead of String concatenation in loops,MEDIUM
D3-001,SlowChainDiagramGenerator.java,184,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D1-004,AsyncConfig.java,18,,private static final int CONSTANT_NAME = 5;,LOW
D11-003,CorsConfig.java,0,,Restrict to specific origins for production,MEDIUM
D1-001,ScanRun.java,0,,"Split into ScanRunCrudService, ScanRunQueryService, etc.",MEDIUM
D1-001,IssueResultEntity.java,0,,"Split into IssueResultEntityCrudService, IssueResultEntityQueryService, etc.",MEDIUM
D1-001,EndpointResultEntity.java,0,,"Split into EndpointResultEntityCrudService, EndpointResultEntityQueryService, etc.",MEDIUM
D1-002,ResultController.java,35,,Extract private helper methods for logical blocks,MEDIUM
D9-001,ScanController.java,28,public ResponseEntity<?> create(@RequestBody UserDTO dto),public ResponseEntity<?> create(@Valid @RequestBody UserDTO dto),HIGH
D1-001,ServiceCallInfo.java,0,,"Split into ServiceCallInfoCrudService, ServiceCallInfoQueryService, etc.",MEDIUM
D1-001,ExternalCallInfo.java,0,,"Split into ExternalCallInfoCrudService, ExternalCallInfoQueryService, etc.",MEDIUM
D1-001,EndpointInfo.java,0,,"Split into EndpointInfoCrudService, EndpointInfoQueryService, etc.",MEDIUM
D1-001,ScanResult.java,0,,"Split into ScanResultCrudService, ScanResultQueryService, etc.",MEDIUM
D1-001,RepositoryCallInfo.java,0,,"Split into RepositoryCallInfoCrudService, RepositoryCallInfoQueryService, etc.",MEDIUM
D1-002,ScanOrchestrator.java,80,,Extract private helper methods for logical blocks,MEDIUM
D1-004,ScanOrchestrator.java,98,,private static final int CONSTANT_NAME = 5;,LOW
D1-004,ScanOrchestrator.java,107,,private static final int CONSTANT_NAME = 15;,LOW
D1-004,ScanOrchestrator.java,119,,private static final int CONSTANT_NAME = 15;,LOW
D1-004,ScanOrchestrator.java,122,,private static final int CONSTANT_NAME = 25;,LOW
D1-004,ScanOrchestrator.java,125,,private static final int CONSTANT_NAME = 27;,LOW
D1-004,ScanOrchestrator.java,134,,private static final int CONSTANT_NAME = 28;,LOW
D1-004,ScanOrchestrator.java,138,,private static final int CONSTANT_NAME = 30;,LOW
D1-004,ScanOrchestrator.java,150,,private static final int CONSTANT_NAME = 35;,LOW
D1-004,ScanOrchestrator.java,152,,private static final int CONSTANT_NAME = 40;,LOW
D1-004,ScanOrchestrator.java,155,,private static final int CONSTANT_NAME = 42;,LOW
D1-004,ScanOrchestrator.java,163,,private static final int CONSTANT_NAME = 50;,LOW
D1-004,ScanOrchestrator.java,166,,private static final int CONSTANT_NAME = 52;,LOW
D1-004,ScanOrchestrator.java,171,,private static final int CONSTANT_NAME = 58;,LOW
D1-004,ScanOrchestrator.java,174,,private static final int CONSTANT_NAME = 60;,LOW
D1-004,ScanOrchestrator.java,179,,private static final int CONSTANT_NAME = 65;,LOW
D1-004,ScanOrchestrator.java,182,,private static final int CONSTANT_NAME = 68;,LOW
D1-004,ScanOrchestrator.java,198,,private static final int CONSTANT_NAME = 72;,LOW
D1-004,ScanOrchestrator.java,251,,private static final int CONSTANT_NAME = 82;,LOW
D1-004,ScanOrchestrator.java,254,,private static final int CONSTANT_NAME = 84;,LOW
D1-004,ScanOrchestrator.java,260,,private static final int CONSTANT_NAME = 90;,LOW
D1-004,ScanOrchestrator.java,263,,private static final int CONSTANT_NAME = 92;,LOW
D1-004,ScanOrchestrator.java,345,,private static final int CONSTANT_NAME = 94;,LOW
D1-004,ScanOrchestrator.java,352,,private static final int CONSTANT_NAME = 96;,LOW
D1-004,ScanOrchestrator.java,358,,private static final int CONSTANT_NAME = 98;,LOW
D1-004,ScanOrchestrator.java,414,,private static final int CONSTANT_NAME = 90;,LOW
D1-004,ScanOrchestrator.java,415,,private static final int CONSTANT_NAME = 75;,LOW
D1-004,ScanOrchestrator.java,416,,private static final int CONSTANT_NAME = 60;,LOW
D1-004,ScanOrchestrator.java,417,,private static final int CONSTANT_NAME = 40;,LOW
D1-004,ScanOrchestrator.java,426,,private static final int CONSTANT_NAME = 90;,LOW
D1-004,ScanOrchestrator.java,427,,private static final int CONSTANT_NAME = 75;,LOW
D1-004,ScanOrchestrator.java,428,,private static final int CONSTANT_NAME = 60;,LOW
D1-004,ScanOrchestrator.java,429,,private static final int CONSTANT_NAME = 40;,LOW
D3-001,ScanOrchestrator.java,114,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,ScanOrchestrator.java,128,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,ScanOrchestrator.java,140,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,ScanOrchestrator.java,191,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D1-002,ProjectScanner.java,34,,Extract private helper methods for logical blocks,MEDIUM
D1-002,ProjectScanner.java,109,,Extract private helper methods for logical blocks,MEDIUM
D1-002,ProjectScanner.java,166,,Extract private helper methods for logical blocks,MEDIUM
D1-002,SlownessAnalyzer.java,24,,Extract private helper methods for logical blocks,MEDIUM
D1-004,SlownessAnalyzer.java,25,,private static final int CONSTANT_NAME = 15;,LOW
D1-004,SlownessAnalyzer.java,33,,private static final int CONSTANT_NAME = 3;,LOW
D1-004,SlownessAnalyzer.java,43,,private static final int CONSTANT_NAME = 1000;,LOW
D1-004,SlownessAnalyzer.java,45,,private static final int CONSTANT_NAME = 3000;,LOW
D1-004,SlownessAnalyzer.java,71,,private static final int CONSTANT_NAME = 5;,LOW
D3-001,SlownessAnalyzer.java,104,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,105,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,125,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,126,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,140,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,141,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,158,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,173,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,189,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,203,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,224,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,225,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,242,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D3-001,SlownessAnalyzer.java,255,for(x : list) { result += x.toString(); },StringBuilder sb = new StringBuilder(); for(x : list) { sb.append(x); },MEDIUM
D6-001,DbQueryAnalyzer.java,64,"""SELECT * FROM x WHERE name = '"" + userInput + ""'""","""SELECT * FROM x WHERE name = ?"" with PreparedStatement / @Query :param",CRITICAL
