Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
A3-004,MEDIUM,Potential missing index — ConsumerRepository.getAllConsumer(),,0,A3,GET /Consumer,NO
A3-004,MEDIUM,Potential missing index — ConsumerRepository.get(),,0,A3,POST /Consumerupdate,NO
A3-004,MEDIUM,Potential missing index — ConsumerRepository.update(),,0,A3,POST /Consumerupdate,NO
A3-004,MEDIUM,Potential missing index — ConsumerRepository.add(),,0,A3,POST /Consumeradd,NO
A3-004,MEDIUM,Potential missing index — ConfigurationRepository.getAllConfigurations(),,0,A3,GET /configuration,NO
A3-004,MEDIUM,Potential missing index — ConfigurationRepository.getConfiguration(),,0,A3,PUT /configuration,NO
A3-004,MEDIUM,Potential missing index — ConfigurationRepository.updateConfiguration(),,0,A3,PUT /configuration,NO
A2-003,HIGH,Synchronous REST call — AuthentiationServiceImpl.authenticate(),,0,A2,GET /authentication/authenticateUsingGet,NO
A2-003,HIGH,Synchronous REST call — AuthentiationServiceImpl.authenticate(),,0,A2,GET /authentication/authenticateUsingGet,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,GET /authentication/authenticateUsingGet,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,GET /authentication/authenticateUsingGet,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,GET /authentication/authenticateUsingGet,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,GET /authentication/authenticateUsingGet,NO
A2-003,HIGH,Synchronous REST call — AuthentiationServiceImpl.authenticate(),,0,A2,POST /authentication/token,NO
A2-003,HIGH,Synchronous REST call — AuthentiationServiceImpl.authenticate(),,0,A2,POST /authentication/token,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /authentication/token,NO
A2-005,HIGH,No timeout on REST client — RESOLVED_AT_RUNTIME,,0,A2,POST /authentication/token,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /authentication/token,NO
A2-006,MEDIUM,No circuit breaker on external call — RESOLVED_AT_RUNTIME,,0,A2,POST /authentication/token,NO
A3-004,MEDIUM,Potential missing index — ConsumerRepository.get(),,0,A3,POST /authentication/token,NO
