timestamp,message
1774362005738,"{""timestamp"":""2026-03-24 14:20:05.733"",""level"":""INFO"",""thread"":""XNIO-1 task-1"",""mdc"":{""REQUEST_ID"":""6672958D6CE4440893C905A39A9B2B9A""},""logger"":""com.inetpsa.cin.interfaces.rest.LpnCountryLimitResource"",""message"":""Request received: GET /lpnCountryLimit - Fetch all LPN country limits"",""context"":""default""}"
1774362005738,"{""timestamp"":""2026-03-24 14:20:05.735"",""level"":""INFO"",""thread"":""XNIO-1 task-2"",""mdc"":{""REQUEST_ID"":""41EE68A469E0409C825DDFDC127988CD""},""logger"":""com.inetpsa.cin.interfaces.rest.LicensePlateCountryResource"",""message"":""Request received: GET /licensePlateCountry - Fetch all license plate countries"",""context"":""default""}"
1774362005745,"{""timestamp"":""2026-03-24 14:20:05.744"",""level"":""INFO"",""thread"":""XNIO-1 task-1"",""mdc"":{""REQUEST_ID"":""6672958D6CE4440893C905A39A9B2B9A""},""logger"":""com.inetpsa.cin.common.domain.infrastructure.persistence.repository.impl.ConsumerCallLimitJpaRepository"",""message"":""Repository: fetched 5 LpnCountryLimit rows"",""context"":""default""}"
1774362005747,"{""timestamp"":""2026-03-24 14:20:05.746"",""level"":""INFO"",""thread"":""XNIO-1 task-1"",""mdc"":{""REQUEST_ID"":""6672958D6CE4440893C905A39A9B2B9A""},""logger"":""com.inetpsa.cin.interfaces.rest.LpnCountryLimitResource"",""message"":""Fetched 5 LPN country limits"",""context"":""default""}"
1774362005751,"{""timestamp"":""2026-03-24 14:20:05.751"",""level"":""INFO"",""thread"":""XNIO-1 task-2"",""mdc"":{""REQUEST_ID"":""41EE68A469E0409C825DDFDC127988CD""},""logger"":""com.inetpsa.cin.interfaces.rest.LicensePlateCountryResource"",""message"":""Fetched 19 license plate countries"",""context"":""default""}"
1774362037868,"{""timestamp"":""2026-03-24 14:20:37.859"",""level"":""INFO"",""thread"":""XNIO-1 task-4"",""mdc"":{""REQUEST_ID"":""EB628FF19F0245228569B32AE90959B5""},""logger"":""com.inetpsa.cin.interfaces.rest.LpnCountryLimitResource"",""message"":""Request received: PUT /lpnCountryLimit/2/update - Update LPN country limit"",""context"":""default""}"
1774433383333,"{""timestamp"":""2026-03-25 10:09:43.332"",""level"":""INFO"",""thread"":""XNIO-1 task-6"",""mdc"":{""REQUEST_ID"":""F3BC07824DC2430186CD307AEE932DC3""},""logger"":""com.inetpsa.cin.common.domain.infrastructure.persistence.repository.impl.ConsumerJpaRepository"",""message"":""Consumer found in  database with application name: DIMBO for id: 26"",""context"":""default""}"
1774433383363,"{""timestamp"":""2026-03-25 10:09:43.363"",""level"":""INFO"",""thread"":""XNIO-1 task-6"",""mdc"":{""REQUEST_ID"":""F3BC07824DC2430186CD307AEE932DC3""},""logger"":""com.inetpsa.cin.common.domain.infrastructure.persistence.repository.impl.ConsumerFlowConfigurationJpaRepository"",""message"":""ConsumerFlowConfiguration found in  database with application name: DIMBO, newflow:true for apiKey: 6FB19E02E3A145A9A10E71AC2AE526FC"",""context"":""default""}"
1774433452673,"{""timestamp"":""2026-03-25 10:10:52.673"",""level"":""INFO"",""thread"":""XNIO-1 task-3"",""mdc"":{""REQUEST_ID"":""E583ACC6196049B6BA43E11A5EE28D5F""},""logger"":""com.inetpsa.cin.common.domain.infrastructure.persistence.repository.impl.ConsumerJpaRepository"",""message"":""Consumer found in  database with application name: DIMBO for id: 26"",""context"":""default""}"
1774433452678,"{""timestamp"":""2026-03-25 10:10:52.677"",""level"":""INFO"",""thread"":""XNIO-1 task-3"",""mdc"":{""REQUEST_ID"":""E583ACC6196049B6BA43E11A5EE28D5F""},""logger"":""com.inetpsa.cin.common.domain.infrastructure.persistence.repository.impl.ConsumerFlowConfigurationJpaRepository"",""message"":""ConsumerFlowConfiguration found in  database with application name: DIMBO, newflow:true for apiKey: 6FB19E02E3A145A9A10E71AC2AE526FC"",""context"":""default""}"
